"anio","unidad_legal_tipo","codigo_provincia","plazas_totales"
2015,"Persona Jurídica","18",676
2015,"Persona Jurídica","19",110
2015,"Persona Jurídica","20",461
2015,"Persona Jurídica","21",1572
2015,"Persona Jurídica","22",3483
2015,"Persona Jurídica","23",5421
2015,"Persona Jurídica","24",6622
2015,"Persona Natural","01",23941
2015,"Persona Natural","02",1382
2015,"Persona Natural","03",3728
2015,"Persona Natural","04",1999
2015,"Persona Natural","05",5405
2015,"Persona Natural","06",7301
2015,"Persona Natural","07",11989
2015,"Persona Natural","08",3710
2015,"Persona Natural","09",46592
2015,"Persona Natural","10",7849
2015,"Persona Natural","11",8074
2015,"Persona Natural","12",6239
2015,"Persona Natural","13",14219
2015,"Persona Natural","14",1366
2015,"Persona Natural","15",1025
2015,"Persona Natural","16",959
2015,"Persona Natural","17",65192
2015,"Persona Natural","18",2985
2015,"Persona Natural","19",456
2015,"Persona Natural","20",632
2015,"Persona Natural","21",1467
2015,"Persona Natural","22",986
2015,"Persona Natural","23",6715
2015,"Persona Natural","24",2271
2016,"Persona Jurídica","01",58783
2016,"Persona Jurídica","02",4501
2016,"Persona Jurídica","03",5208
2016,"Persona Jurídica","04",4356
2016,"Persona Jurídica","05",8268
2016,"Persona Jurídica","06",13747
2016,"Persona Jurídica","07",19315
2016,"Persona Jurídica","08",8113
2016,"Persona Jurídica","09",302305
2016,"Persona Jurídica","10",10803
2016,"Persona Jurídica","11",15889
2016,"Persona Jurídica","12",12889
2016,"Persona Jurídica","13",28464
2016,"Persona Jurídica","14",2418
2016,"Persona Jurídica","15",1810
2016,"Persona Jurídica","16",969
2016,"Persona Jurídica","17",305374
2016,"Persona Jurídica","18",725
2016,"Persona Jurídica","19",105
2016,"Persona Jurídica","20",434
2016,"Persona Jurídica","21",1355
2016,"Persona Jurídica","22",1641
2016,"Persona Jurídica","23",4744
2016,"Persona Jurídica","24",6600
2016,"Persona Natural","01",22389
2016,"Persona Natural","02",1268
2016,"Persona Natural","03",3571
2016,"Persona Natural","04",1750
2016,"Persona Natural","05",4969
2016,"Persona Natural","06",6901
2016,"Persona Natural","07",11271
2016,"Persona Natural","08",3166
2016,"Persona Natural","09",43607
2016,"Persona Natural","10",7057
2016,"Persona Natural","11",7071
2016,"Persona Natural","12",5902
2016,"Persona Natural","13",12732
2016,"Persona Natural","14",1224
2016,"Persona Natural","15",889
2016,"Persona Natural","16",811
2016,"Persona Natural","17",59008
2016,"Persona Natural","18",2713
2016,"Persona Natural","19",415
2016,"Persona Natural","20",558
2016,"Persona Natural","21",1207
2016,"Persona Natural","22",761
2016,"Persona Natural","23",5982
2016,"Persona Natural","24",2026
2017,"Persona Jurídica","01",58271
2017,"Persona Jurídica","02",4518
2017,"Persona Jurídica","03",5288
2017,"Persona Jurídica","04",4404
2017,"Persona Jurídica","05",8452
2017,"Persona Jurídica","06",13781
2017,"Persona Jurídica","07",18590
2017,"Persona Jurídica","08",8437
2017,"Persona Jurídica","09",294387
2017,"Persona Jurídica","10",10759
2017,"Persona Jurídica","11",15575
2017,"Persona Jurídica","12",13115
2017,"Persona Jurídica","13",28581
2017,"Persona Jurídica","14",2433
2017,"Persona Jurídica","15",1841
2017,"Persona Jurídica","16",925
2017,"Persona Jurídica","17",295343
2017,"Persona Jurídica","18",794
2017,"Persona Jurídica","19",99
2017,"Persona Jurídica","20",438
2017,"Persona Jurídica","21",1307
2017,"Persona Jurídica","22",1647
2017,"Persona Jurídica","23",4557
2017,"Persona Jurídica","24",7869
2017,"Persona Natural","01",21058
2017,"Persona Natural","02",1185
2017,"Persona Natural","03",3415
2017,"Persona Natural","04",1677
2017,"Persona Natural","05",4664
2017,"Persona Natural","06",6632
2017,"Persona Natural","07",11025
2017,"Persona Natural","08",2827
2017,"Persona Natural","09",40830
2017,"Persona Natural","10",6477
2017,"Persona Natural","11",6609
2017,"Persona Natural","12",5517
2017,"Persona Natural","13",11939
2017,"Persona Natural","14",1112
2017,"Persona Natural","15",738
2017,"Persona Natural","16",744
2017,"Persona Natural","17",55350
2017,"Persona Natural","18",2478
2017,"Persona Natural","19",382
2017,"Persona Natural","20",531
2017,"Persona Natural","21",1090
2017,"Persona Natural","22",707
2017,"Persona Natural","23",5737
2017,"Persona Natural","24",1824
2018,"Persona Jurídica","01",59509
2018,"Persona Jurídica","02",4640
2018,"Persona Jurídica","03",5548
2018,"Persona Jurídica","04",4470
2018,"Persona Jurídica","05",9534
2018,"Persona Jurídica","06",14641
