"codigo_provincia","provincia"
"01","Azuay"
"12","Los Ríos"
"03","Cañar"
"09","Guayas"
"17","Pichincha"
"06","Chimborazo"
"07","El Oro"
"14","Morona Santiago"
"04","Carchi"
"13","Manabí"
"10","Imbabura"
"23","Santo Domingo de los Tsáchilas"
"05","Cotopaxi"
"24","Santa Elena"
"21","Sucumbíos"
"18","Tungurahua"
"11","Loja"
"19","Zamora Chinchipe"
"16","Pastaza"
"02","Bolívar"
"08","Esmeraldas"
"22","Orellana"
"15","Napo"
"20","Galápagos"
"90","Zona No Delimitada"
